	dropoff_latitude	dropoff_longitude	dropoff_datetime	pickup_datetime	pickup_latitude	pickup_longitude	tip_amount	trip_distance
5	40.741152	-73.987977	2013-07-09T11:33:00.000	2013-07-09T11:12:00.000	40.71195	-74.012128	1.5	2.57
7	40.755885	-73.976387	2013-03-21T16:59:00.000	2013-03-21T16:48:00.000	40.746167	-73.981802	0.0	1.21
20	40.749583	-73.863371	2013-12-25T03:02:45.000	2013-12-25T02:29:53.000	40.755812	-73.992331	0.0	8.1
21	40.772509	-73.967051	2013-09-04T09:16:05.000	2013-09-04T09:02:01.000	40.789315	-73.975947	0.0	1.7
27	40.754472	-73.98443	2013-02-05T10:38:00.000	2013-02-05T10:22:00.000	40.735332	-73.998032	2.1	1.59
31	40.762622	-73.981573	2013-11-15T09:06:00.000	2013-11-15T08:53:00.000	40.758102	-73.976277	2.0	0.71
34	40.742028	-73.985823	2013-01-14T19:25:53.000	2013-01-14T19:16:50.000	40.752072	-74.003687	2.55	0.8
37	40.771472	-73.982628	2013-11-26T04:05:00.000	2013-11-26T04:01:00.000	40.764942	-73.987937	0.0	0.83
41	40.752237	-73.993415	2013-10-29T23:02:00.000	2013-10-29T22:55:00.000	40.742197	-74.004495	0.0	1.27
46	40.716181	-73.987378	2013-07-15T16:55:58.000	2013-07-15T16:35:05.000	40.716181	-73.987378	0.0	1.8
60	40.777197	-73.945945	2013-09-03T12:22:00.000	2013-09-03T12:20:00.000	40.776282	-73.947727	0.0	0.51
63	40.753797	-73.881285	2013-10-14T18:46:00.000	2013-10-14T18:36:00.000	40.77379	-73.871085	2.38	1.98
70	40.759232	-73.992223	2013-08-25T05:20:44.000	2013-08-25T05:14:31.000	40.757768	-73.975609	0.0	1.3
75	40.724829	-73.992672	2013-01-22T20:41:49.000	2013-01-22T20:22:25.000	40.760931	-73.98336	0.0	3.5
77	40.782634	-73.957275	2013-05-22T19:16:47.000	2013-05-22T19:14:46.000	40.780188	-73.955311	0.0	0.3
78	40.722867	-73.979732	2013-02-03T14:48:00.000	2013-02-03T14:36:00.000	40.730857	-74.000947	1.9	1.6
95	40.762402	-73.979771	2013-03-25T07:38:01.000	2013-03-25T07:26:37.000	40.780952	-73.946654	2.0	2.9
97	0.0	0.0	2013-07-13T01:26:44.000	2013-07-13T01:23:12.000	0.0	0.0	0.0	0.5
108	40.783541	-73.947745	2013-01-11T12:12:52.000	2013-01-11T11:55:04.000	40.768813	-73.862843	7.45	8.1
132	40.756135	-73.92867	2013-06-15T11:59:41.000	2013-06-15T11:49:57.000	40.741688	-73.902603	0.0	2.3
138	40.80247	-73.944521	2013-07-14T21:55:22.000	2013-07-14T21:36:00.000	40.723679	-73.996319	0.0	6.2
143	40.73494	-74.003125	2013-09-29T21:18:36.000	2013-09-29T20:55:19.000	40.770771	-73.866113	6.7	11.3
152	40.722562	-74.009765	2013-11-06T12:16:00.000	2013-11-06T12:01:00.000	40.724705	-73.99881	0.0	2.26
157	40.765987	-73.971767	2013-06-04T18:27:00.000	2013-06-04T18:21:00.000	40.771527	-73.967672	0.0	0.56
159	40.730365	-73.986604	2013-10-16T02:05:02.000	2013-10-16T01:58:26.000	40.716114	-73.995518	0.0	1.4
163	40.74224	-73.993305	2013-07-22T10:40:26.000	2013-07-22T10:34:17.000	40.732383	-73.994422	1.0	0.9
169	40.755385	-73.990897	2013-12-03T08:20:00.000	2013-12-03T08:18:00.000	40.751522	-73.994602	0.0	0.4
170	40.722567	-73.988657	2013-02-03T10:52:00.000	2013-02-03T10:51:00.000	40.718192	-73.990808	0.0	0.41
194	40.77905	-73.977082	2013-08-23T14:49:54.000	2013-08-23T14:45:34.000	40.776352	-73.962312	1.0	1.1
198	40.796189	-73.949836	2013-02-27T08:22:44.000	2013-02-27T08:03:24.000	40.795825	-73.950057	0.0	2.0
199	40.792495	-73.977274	2013-04-17T11:20:29.000	2013-04-17T11:17:29.000	40.784153	-73.979919	0.0	0.8
213	40.759187	-73.975557	2013-06-20T12:20:00.000	2013-06-20T12:17:00.000	40.754652	-73.978295	0.9	0.43
215	40.78384	-73.954672	2013-12-20T18:46:00.000	2013-12-20T18:37:00.000	40.774577	-73.946003	1.0	1.07
216	40.750377	-73.991223	2013-06-27T21:27:00.000	2013-06-27T21:21:00.000	40.762837	-73.987225	0.0	1.14
217	40.811406	-73.946402	2013-05-06T02:34:29.000	2013-05-06T02:24:52.000	40.776902	-73.982193	0.0	3.5
222	40.732616	-74.003301	2013-02-09T15:48:26.000	2013-02-09T15:30:55.000	40.761596	-73.972841	0.0	3.2
223	-73.899553	40.741195	2013-05-23T19:11:00.000	2013-05-23T19:06:00.000	-73.917782	40.769975	1.0	2.79
242	40.743115	-73.983628	2013-09-03T09:08:00.000	2013-09-03T08:42:00.000	40.704322	-74.012398	0.0	4.95
254	40.777985	-73.980313	2013-02-17T18:11:00.000	2013-02-17T18:08:00.000	40.782432	-73.981012	0.0	0.51
261	40.744047	-74.003055	2013-10-17T04:04:34.000	2013-10-17T03:58:59.000	40.713767	-74.009371	2.0	2.6
276	40.778745	-73.98033	2013-01-16T10:40:55.000	2013-01-16T10:24:28.000	40.766907	-73.953545	2.6	2.4
296	40.786453	-73.978148	2013-02-22T16:56:00.000	2013-02-22T16:41:00.000	40.809183	-73.944513	2.6	2.99
298	40.762071	-73.982467	2013-04-22T07:35:08.000	2013-04-22T07:30:47.000	40.755874	-73.990718	1.0	0.7
299	40.766992	-73.958206	2013-10-21T20:50:03.000	2013-10-21T20:34:51.000	40.741713	-73.990062	2.9	3.4
301	40.731433	-74.005342	2013-01-21T19:40:26.000	2013-01-21T19:31:54.000	40.734713	-73.990109	0.0	1.4
311	40.720152	-73.995905	2013-04-16T23:10:00.000	2013-04-16T23:05:00.000	40.725802	-74.00575	1.2	0.78
323	40.730107	-73.992832	2013-01-14T12:20:00.000	2013-01-14T12:08:00.000	40.748857	-73.97546	0.0	2.24
324	40.777562	-73.951135	2013-08-24T18:59:00.000	2013-08-24T18:52:00.000	40.789842	-73.969778	0.0	1.67
333	40.737941	-73.983584	2013-11-22T22:12:54.000	2013-11-22T22:07:32.000	40.746965	-73.983728	1.3	1.0
340	40.745412	-73.98049	2013-07-14T00:28:00.000	2013-07-14T00:22:00.000	40.74365	-73.973702	0.0	0.52
348	0.0	0.0	2013-07-02T14:21:39.000	2013-07-02T13:40:00.000	0.0	0.0	11.56	18.2
360	40.721207	-74.009935	2013-10-03T11:05:11.000	2013-10-03T10:53:11.000	40.737782	-73.992335	2.1	2.0
361	40.78874	-73.727688	2013-10-13T21:32:42.000	2013-10-13T21:08:33.000	40.644543	-73.782076	11.5	16.5
365	40.773872	-73.963882	2013-03-17T13:01:00.000	2013-03-17T12:48:00.000	40.74775	-74.000257	3.75	3.51
368	40.787573	-73.942942	2013-01-25T21:17:32.000	2013-01-25T21:07:39.000	40.776317	-73.961941	0.0	1.7
380	40.778962	-73.946435	2013-07-06T21:46:00.000	2013-07-06T21:39:00.000	40.757087	-73.967088	1.7	2.02
381	40.750669	-73.979037	2013-11-04T13:47:22.000	2013-11-04T13:40:35.000	40.743484	-73.977653	1.4	1.0
395	40.760187	-73.96731	2013-07-05T08:24:00.000	2013-07-05T08:17:00.000	40.736622	-73.978492	2.12	1.96
398	40.808105	-73.946157	2013-09-28T21:06:10.000	2013-09-28T20:51:15.000	40.758316	-73.979713	0.0	6.3
426	40.705547	-74.006811	2013-03-25T19:57:25.000	2013-03-25T19:47:42.000	40.723203	-73.992876	0.0	1.5
440	40.73736	-73.988737	2013-08-10T13:43:20.000	2013-08-10T13:20:43.000	40.756234	-73.990633	0.0	2.2
451	40.78475	-73.955878	2013-12-28T13:09:00.000	2013-12-28T12:48:00.000	40.73119	-74.001297	3.5	4.69
452	40.77427	-73.982138	2013-08-28T22:42:41.000	2013-08-28T22:37:35.000	40.765861	-73.9804	3.0	0.7
453	40.76915	-73.99212	2013-10-22T20:53:00.000	2013-10-22T20:37:00.000	40.741472	-73.98954	2.0	2.66
455	40.736087	-73.98207	2013-05-06T21:01:00.000	2013-05-06T20:59:00.000	40.746155	-73.974958	1.0	0.79
464	40.756265	-73.967687	2013-10-28T16:08:37.000	2013-10-28T15:56:02.000	40.722711	-73.993108	2.4	2.8
476	40.772475	-73.958568	2013-07-14T09:48:10.000	2013-07-14T09:36:26.000	40.776037	-73.982522	0.0	2.3
